region1,region,service,time,elos_achievable,elos,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,0,1,Full service,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,1,2,Ability to send and receive texts (albeit with potential delays). ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Johnsonville CBD,Johnsonville,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Western Suburbs,Wellington Western Suburbs,telecommunications,2,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Karori,Karori,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn RORO&CBD,Wellington RORO & CBD,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Newtown,Newtown,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Southern Suburbs,Wellington Southern Suburbs,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wlgtn Airport,Wellington Airport,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Miramar,Miramar,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Upper Hutt CBD,Petone,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Stokes Valley,Lower Hutt,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Western Hutt Hills,Seaview Fuel Terminal,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Lower Hutt,Eastbourne,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Petone,Wainuiomata,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wainuiomata,Western Hutt Hills,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Seaview Fuel Terminal,Upper Hutt,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Eastbourne,Stokes Valley,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Wairarapa,Wairarapa,telecommunications,2,2,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Kapiti Coast,Kapiti Coast,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua North,Porirua North,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Titahi Bay,Porirua CBD,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua CBD,Titahi Bay,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Porirua East,Tawa,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
Tawa 'CBD',Porirua East,telecommunications,3,1,Access mobile data for minimal functionality at defined locations such as at Community Emergency Hubs. ,,,,,,,,,,,,,,,,,,
