dest_type,lat,lon,label,address,1,2,3,4,5,nearest_priority_road,dist_to_priority_road,suburb_resupply_day,comments
fuel_station,-41.197882,174.937385,Z High St,"834 High St, Boulcott, Lower Hutt",3,3,3,3,1,,,,
fuel_station,-41.22204408,174.8700969,Mobil Petone ,"3 Hutt Road, Petone ",3,3,2,1,1,2,0,21/90,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed. "
fuel_station,-41.22272881,174.8687421,Z Petone,"Cnr Jackson St and Hutt Rd, Petone",3,3,3,3,1,,,,
fuel_station,-41.223465,174.873069,Pak n Save Petone Fuel,"59 Jackson St, Petone",3,3,3,3,1,,,,
fuel_station,-41.23224,174.837309,Hutt Rd unmanned OPT,"605 Hutt Road, Horokiwi, Wellington 5016",3,3,3,3,1,,,,
fuel_station,-41.2124,174.893738,BP 2go Railway Avenue,"32 Railway Avenue, Lower Hutt",3,3,3,3,1,,,,
fuel_station,-41.2625706,174.9462172,BP Connect Wainuiomata,1-3 Wainuiomata Rd.  Wainuiomata,3,3,3,3,1,,,,
fuel_station,-41.25985441,174.9429525,Caltex Wainuiomata ,"14 -16 The Strand, Wainuiomata",3,3,3,3,1,,,,
fuel_station,-41.242833,174.908627,Z Seaview diesel Stop,"58 Seaview Road, Seaview",3,3,3,3,1,,,,
fuel_station,-41.24642999,174.9097544,Mobil Seaview Fuel Depot ,"90 Seaview Road, Seaview ",3,3,3,3,1,,,,
fuel_station,-41.23612262,174.9061994,Z Hutt Park Seaview,"Cnr Seaview Rd and Parkside Rd, Seaview",3,3,3,3,1,,,,
fuel_station,-41.241256,174.908336,BP Seaview Truckstop,"48-56 Seaview Road, Lower Hutt",3,3,3,3,1,,,,
fuel_station,-41.275678,174.904899, Challenge Sunshine Bay,"519 Marine Dr, Eastbourne ",3,3,3,3,1,,,,
fuel_station,-40.952121,175.656349,BP 2go Masterton,"127 Chapel Street, Masterton",3,2,2,1,1,1,0,21,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-40.950426,175.658198,Z Masterton,"80 Chapel St, Masterton",3,2,2,1,1,,,,"PrioritNo generator on-site, so fuel commences from when generator can be installed.y fuel station. Fuel only available while stocks allow. "
fuel_station,-40.969121,175.601242,Z Masterton Truckstop,"SH2, Masterton ",3,3,3,3,1,,,,
fuel_station,-40.962705,175.614207,BP Masterton Truckstop,"307 High St, Masterton (Diesel only) ",3,3,3,3,1,,,,
fuel_station,-41.11690192,175.3230109,Mobil (Adamsons Service Station) Featherston,"32 Fitzherbert St, Featherston",3,3,3,3,1,,,,
fuel_station,-41.352457,175.205498,Mobil (APL Pirinoa Country Store),"Main Road, Pirirnoa, Wairarapa",3,3,3,3,1,,,,
fuel_station,-41.2169535,175.457929,BP 2go Martinborough,Kitchener St. Martinborough,3,2,2,1,1,,,,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-40.94690164,175.6633353,Caltex Chapel St ,"Cnr Wrigley and Chapel St, Masterton",3,3,3,3,1,,,,
fuel_station,-40.96200956,175.6244986,Caltex Solway ,"216 High St, Masterton",3,2,2,1,1,,,,"Priority fuel station. Fuel only available while stocks allow. No generator on-site, so fuel commences from when generator can be installed."
fuel_station,-41.02139524,175.5305147,"Mobil (Smith Hare & Christison), Carterton","191-201 High Street North, Carterton",3,3,3,3,1,,,,
fuel_station,-40.94542659,175.6691013,Mobil Faulknors ,"1 - 3 Queen Street North, Masterton",3,3,3,3,1,,,,
fuel_station,-40.9575822,175.6472739,Mobil Kuripuni - Masterton ,"229 - 231 Chapel Street, Masterton ",3,3,3,3,1,,,,
fuel_station,-40.94625373,175.6378351,Mobil Western Auto - Masterton ,"141 Ngaumutawa Road, Masterton ",3,3,3,3,1,,,,
fuel_station,-40.949504,175.664027,Challenge Masterton,"32 Dixon St, Masterton",3,3,3,3,1,,,,
fuel_station,-41.087042,175.452599,Challenge Greytown,"230 Main St, Greytown",3,3,3,3,1,,,,
fuel_station,-40.956981,175.64855,Pak n Save Masterton Fuel,"429 Queen St, Masterton",3,3,3,3,1,,,,
water,-41.29774,174.778498,,,3,1,1,1,1,,,,
water,-41.140569,174.866341,,,3,1,1,1,1,,,,
water,-41.12924069,174.8784955,,,3,1,1,1,1,,,,
water,-41.296175,174.784842,,,3,1,1,1,1,,,,
water,-41.29324603,174.7750544,,,3,1,1,1,1,,,,
water,-41.12932,175.043964,,,3,1,1,1,1,,,,
water,-41.111798,174.840138,,,3,1,1,1,1,,,,
water,-41.22128394,174.9197257,,,3,1,1,1,1,,,,
water,-41.144036,174.857509,,,3,1,1,1,1,,,,
water,-41.214776,174.923329,,,3,1,1,1,1,,,,
water,-41.12233,175.060015,,,3,1,1,1,1,,,,
water,-41.247765,174.798076,,,3,1,1,1,1,,,,
water,-41.101343,174.843283,,,3,1,1,1,1,,,,
water,-41.273974,174.779971,,,3,1,1,1,1,,,,
water,-41.114048,174.867576,,,3,1,1,1,1,,,,
water,-41.32170146,174.8015805,,,3,1,1,1,1,,,,
water,-41.111076,175.082686,,,3,1,1,1,1,,,,
water,-41.202052,174.935775,,,3,1,1,1,1,,,,
water,-41.12726904,174.8649956,,,3,1,1,1,1,,,,
water,-41.317971,174.817296,,,3,1,1,1,1,,,,
water,-41.12909569,175.0552976,,,3,1,1,1,1,,,,
water,-41.31730827,174.7807591,,,3,1,1,1,1,,,,
water,-41.117178,174.880849,,,3,1,1,1,1,,,,
